"file","role","risk","lines","uses","used_by"
"apps/web/src/app/layout.tsx","layout/entrypoint","HIGH","138","12","0"
"apps/web/src/app/loading.tsx","loading boundary","MEDIUM","18","2","0"
"apps/web/src/app/error.tsx","error boundary","MEDIUM","25","2","0"
"apps/web/src/app/(site)/layout.tsx","layout/entrypoint","HIGH","5","2","0"
"apps/web/src/app/(detail)/layout.tsx","layout/entrypoint","HIGH","5","2","0"
"apps/web/src/app/(site)/movies/page.tsx","route/page entrypoint","MEDIUM","167","9","0"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","route/page entrypoint","MEDIUM","298","17","0"
"apps/web/src/middleware.ts","request pipeline + headers/csp","HIGH","70","2","0"
"apps/web/next.config.mts","next runtime config","HIGH","123","0","0"
"apps/web/scripts/verify-seo-report.mjs","seo/chunk verification gate","MEDIUM","89","3","0"
"apps/web/scripts/verify-seo-contracts.mjs","seo/chunk verification gate","MEDIUM","124","4","0"
"apps/web/scripts/verify-seo-noindex-robots.mjs","seo/chunk verification gate","MEDIUM","194","4","0"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","seo/chunk verification gate","MEDIUM","38","2","0"
"apps/web/scripts/verify-route-chunk-budget.mjs","seo/chunk verification gate","MEDIUM","61","2","0"
"packages/db/src/schema/index.ts","db schema source of truth","HIGH","229","0","0"
"packages/db/drizzle/0000_tense_agent_brand.sql","db migration artifact","MEDIUM","160","0","0"
"packages/db/drizzle/0001_outstanding_havok.sql","db migration artifact","MEDIUM","2","0","0"
"packages/db/drizzle/0002_rapid_movie_comments.sql","db migration artifact","MEDIUM","15","0","0"
"packages/db/drizzle/0003_late_media_type_comments.sql","db migration artifact","MEDIUM","2","0","0"
"apps/web/src/styles/design-tokens.generated.css","generated tokens/css","MEDIUM","91","0","0"
"theme/generated/tokens.css","generated tokens/css","MEDIUM","45","0","0"
"theme/tokens/classes.generated.json","generated tokens/css","MEDIUM","66","0","0"
"apps/web/src/app/(site)/movies/loading.tsx","loading boundary","MEDIUM","14","1","0"
"apps/web/src/app/(detail)/movie/[id]/loading.tsx","loading boundary","MEDIUM","34","1","0"
"apps/web/src/app/(detail)/movie/[id]/error.tsx","error boundary","MEDIUM","41","2","0"
