"file","import_line"
"apps/admin/eslint.config.mjs","import nextPlugin from '@next/eslint-plugin-next'"
"apps/admin/eslint.config.mjs","import rootConfig from '../../eslint.config.mjs'"
"apps/admin/next-env.d.ts","import './.next/types/routes.d.ts'"
"apps/admin/src/app/layout.tsx","import type { Metadata } from 'next'"
"apps/admin/src/app/layout.tsx","import { Geist } from 'next/font/google'"
"apps/admin/src/app/layout.tsx","import '@repo/ui/tokens/tokens.css'"
"apps/admin/src/app/layout.tsx","import '@repo/ui/tokens/globals.css'"
"apps/api/src/index.test.ts","import { describe, expect, it } from 'vitest'"
"apps/api/src/index.test.ts","import server from './index'"
"apps/api/src/index.ts","import { and, db, eq, movieComments, sql } from '@repo/db'"
"apps/api/src/index.ts","import { fetchRequestHandler } from '@trpc/server/adapters/fetch'"
"apps/api/src/index.ts","import { Hono } from 'hono'"
"apps/api/src/index.ts","import { cors } from 'hono/cors'"
"apps/api/src/index.ts","import { logger } from 'hono/logger'"
"apps/api/src/index.ts","import { Resend } from 'resend'"
"apps/api/src/index.ts","import { z } from 'zod'"
"apps/api/src/index.ts","import { getCommentModerationEmail } from './emails/comment-moderation'"
"apps/api/src/index.ts","import { appRouter } from './server/api/root'"
"apps/api/src/index.ts","import {"
"apps/api/src/index.ts","import { loginUser, registerOAuthUser, registerUser } from './server/api/routers/users/service'"
"apps/api/src/index.ts","import { createTRPCContext } from './server/context'"
"apps/api/src/lib/generateColors.ts","import { promises as fs } from 'node:fs'"
"apps/api/src/lib/generateColors.ts","import { tmpdir } from 'node:os'"
"apps/api/src/lib/generateColors.ts","import { join } from 'node:path'"
"apps/api/src/lib/generateColors.ts","import { encode } from 'blurhash'"
"apps/api/src/lib/generateColors.ts","import { getColor } from 'colorthief'"
"apps/api/src/lib/generateColors.ts","import sharp from 'sharp'"
"apps/api/src/server/api/root.ts","import { router } from '../trpc'"
"apps/api/src/server/api/root.ts","import { movieRouter } from './routers/movies'"
"apps/api/src/server/api/root.ts","import { userRouter } from './routers/users'"
"apps/api/src/server/api/routers/movies/index.ts","import { TRPCError } from '@trpc/server'"
"apps/api/src/server/api/routers/movies/index.ts","import { z } from 'zod'"
"apps/api/src/server/api/routers/movies/index.ts","import { publicProcedure, router } from '../../../trpc'"
"apps/api/src/server/api/routers/movies/index.ts","import {"
"apps/api/src/server/api/routers/movies/mutations.ts","import { and, db, eq, media, movieFeedbackVotes } from '@repo/db'"
"apps/api/src/server/api/routers/movies/mutations.ts","import type { FeedbackVote } from './queries'"
"apps/api/src/server/api/routers/movies/queries.ts","import { and, db, eq, media, movieFeedbackVotes, sql } from '@repo/db'"
"apps/api/src/server/api/routers/movies/service.ts","import { z } from 'zod'"
"apps/api/src/server/api/routers/movies/service.ts","import { generateMovieColors } from '../../../../lib/generateColors'"
"apps/api/src/server/api/routers/movies/service.ts","import * as mutations from './mutations'"
"apps/api/src/server/api/routers/movies/service.ts","import * as queries from './queries'"
"apps/api/src/server/api/routers/users/index.ts","import { TRPCError } from '@trpc/server'"
"apps/api/src/server/api/routers/users/index.ts","import { z } from 'zod'"
"apps/api/src/server/api/routers/users/index.ts","import { publicProcedure, router } from '../../../trpc'"
"apps/api/src/server/api/routers/users/index.ts","import { loginUser, registerUser } from './service'"
"apps/api/src/server/api/routers/users/mutations.ts","import { db } from '@repo/db'"
"apps/api/src/server/api/routers/users/mutations.ts","import { users } from '@repo/db/schema'"
"apps/api/src/server/api/routers/users/queries.ts","import { db, eq } from '@repo/db'"
"apps/api/src/server/api/routers/users/queries.ts","import { users } from '@repo/db/schema'"
"apps/api/src/server/api/routers/users/service.ts","import { Resend } from 'resend'"
"apps/api/src/server/api/routers/users/service.ts","import { getAdminNotificationEmail } from '../../../../emails/admin-notification'"
"apps/api/src/server/api/routers/users/service.ts","import { getWelcomeEmail } from '../../../../emails/welcome'"
"apps/api/src/server/api/routers/users/service.ts","import * as mutations from './mutations'"
"apps/api/src/server/api/routers/users/service.ts","import * as queries from './queries'"
"apps/api/src/server/context.ts","import { db } from '@repo/db'"
"apps/api/src/server/trpc.ts","import { initTRPC } from '@trpc/server'"
"apps/api/src/server/trpc.ts","import type { Context } from './context'"
"apps/api/vitest.config.ts","import { defineConfig } from 'vitest/config'"
"apps/web/eslint.config.mjs","import nextPlugin from '@next/eslint-plugin-next'"
"apps/web/eslint.config.mjs","import rootConfig from '../../eslint.config.mjs'"
"apps/web/next-env.d.ts","import ""./.next/types/routes.d.ts"";"
"apps/web/scripts/create-seo-page.mjs","import { existsSync, mkdirSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/create-seo-page.mjs","import { join } from 'node:path'"
"apps/web/scripts/create-seo-page.mjs","import { WebPageJsonLd } from '@/components/WebPageJsonLd/WebPageJsonLd'"
"apps/web/scripts/create-seo-page.mjs","import { discoverSocialMeta } from '@/lib/seoSocial'"
"apps/web/scripts/indexnow-submit-sitemap.mjs","import { fetchSitemapUrlsetUrls } from './sitemap-urlset-utils.mjs'"
"apps/web/scripts/measure-route-client-chunks.mjs","import { mkdirSync, readdirSync, readFileSync, statSync, writeFileSync } from 'node:fs'"
"apps/web/scripts/measure-route-client-chunks.mjs","import { join, resolve } from 'node:path'"
"apps/web/scripts/measure-route-client-chunks.mjs","import vm from 'node:vm'"
"apps/web/scripts/robots-disallow-utils.mjs","import ts from 'typescript'"
