"file","imports","exports"
"apps/admin/eslint.config.mjs","2","1"
"apps/admin/next-env.d.ts","1","0"
"apps/admin/src/app/layout.tsx","4","2"
"apps/admin/src/app/page.tsx","0","1"
"apps/api/src/emails/admin-notification.ts","0","1"
"apps/api/src/emails/comment-moderation.ts","0","1"
"apps/api/src/emails/welcome.ts","0","1"
"apps/api/src/index.test.ts","2","0"
"apps/api/src/index.ts","12","1"
"apps/api/src/lib/generateColors.ts","6","1"
"apps/api/src/server/api/root.ts","3","1"
"apps/api/src/server/api/routers/movies/index.ts","4","1"
"apps/api/src/server/api/routers/movies/mutations.ts","2","3"
"apps/api/src/server/api/routers/movies/queries.ts","1","4"
"apps/api/src/server/api/routers/movies/service.ts","4","4"
"apps/api/src/server/api/routers/users/index.ts","4","1"
"apps/api/src/server/api/routers/users/mutations.ts","2","1"
"apps/api/src/server/api/routers/users/queries.ts","2","2"
"apps/api/src/server/api/routers/users/service.ts","5","3"
"apps/api/src/server/context.ts","1","2"
"apps/api/src/server/trpc.ts","2","2"
"apps/api/vitest.config.ts","1","1"
"apps/web/eslint.config.mjs","2","1"
"apps/web/next-env.d.ts","1","0"
"apps/web/postcss.config.mjs","0","1"
"apps/web/public/sw.js","0","0"
"apps/web/scripts/create-seo-page.mjs","4","3"
"apps/web/scripts/indexnow-submit-sitemap.mjs","1","0"
"apps/web/scripts/measure-route-client-chunks.mjs","3","0"
"apps/web/scripts/robots-disallow-utils.mjs","1","2"
"apps/web/scripts/seo-consistency-core.mjs","1","3"
"apps/web/scripts/seo-crawl-budget-core.mjs","1","2"
"apps/web/scripts/seo-internal-links-core.mjs","1","5"
"apps/web/scripts/seo-monitor-regression.mjs","3","0"
"apps/web/scripts/seo-nightly.mjs","3","0"
"apps/web/scripts/seo-scaffold-core.mjs","2","3"
"apps/web/scripts/seo-smoke.mjs","3","0"
"apps/web/scripts/seo-webmaster-loop.mjs","2","0"
"apps/web/scripts/seo-weekly-audit.mjs","3","0"
"apps/web/scripts/sitemap-urlset-utils.mjs","0","1"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","4","0"
"apps/web/scripts/trigger-indexnow-endpoint.mjs","0","0"
"apps/web/scripts/ts-ast-utils.mjs","1","7"
"apps/web/scripts/verify-jsonld-coverage.mjs","3","0"
"apps/web/scripts/verify-route-chunk-budget.mjs","2","0"
"apps/web/scripts/verify-semantic-button-states.mjs","3","0"
"apps/web/scripts/verify-seo-canonical-contract.mjs","3","0"
"apps/web/scripts/verify-seo-consistency.mjs","5","0"
"apps/web/scripts/verify-seo-contracts.mjs","4","0"
"apps/web/scripts/verify-seo-crawl-budget.mjs","4","0"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","4","0"
"apps/web/scripts/verify-seo-infra.mjs","3","0"
"apps/web/scripts/verify-seo-internal-links.mjs","3","0"
"apps/web/scripts/verify-seo-noindex-robots.mjs","4","0"
"apps/web/scripts/verify-seo-programmatic-policy.mjs","2","0"
"apps/web/scripts/verify-seo-report.mjs","3","0"
"apps/web/scripts/verify-seo-scaffold-staged.mjs","2","0"
"apps/web/scripts/verify-seo-scaffold.mjs","3","0"
"apps/web/scripts/verify-seo-schema-contract.mjs","4","0"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","3","0"
"apps/web/src/app/(detail)/layout.tsx","2","1"
"apps/web/src/app/(detail)/movie/[id]/error.tsx","2","1"
"apps/web/src/app/(detail)/movie/[id]/loading.tsx","1","1"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","17","4"
"apps/web/src/app/(site)/about/page.tsx","7","3"
"apps/web/src/app/(site)/accessibility/page.tsx","6","3"
"apps/web/src/app/(site)/cartoon/[id]/page.tsx","2","3"
"apps/web/src/app/(site)/cartoons/page.tsx","9","3"
"apps/web/src/app/(site)/categories/page.tsx","4","2"
