"file","lines","text"
".cursorignore","13","True"
".cursorrules","18","True"
".env.example","10","True"
".github/workflows/generate-manifest.yml","32","True"
".github/workflows/quality.yml","99","True"
".gitignore","12","True"
".husky/pre-commit","4","True"
".husky/pre-push","4","True"
".playwright-mcp/page-2026-04-26T23-09-22-139Z.yml","3604","True"
".playwright-mcp/page-2026-04-27T20-37-06-651Z.yml","1043","True"
".prettierrc","8","True"
".reports/knip-baseline.json","1","True"
".vscode/extensions.json","5","True"
".vscode/settings.json","2","True"
"ARCHITECTURE.md","27","True"
"AUDIT_REPORT.md","45","True"
"CHECKLIST.md","35","True"
"CLAUDE.md","98","True"
"CODE_INDEX.manual.md","7","True"
"CODE_INDEX.md","342","True"
"HANDOFF.md","37","True"
"HOMEPAGE-MEDIA-SESSION.md","68","True"
"LESSONS.md","37","True"
"PROGRESS.md","339","True"
"apps/admin/.eslintrc.json","3","True"
"apps/admin/eslint.config.mjs","21","True"
"apps/admin/next-env.d.ts","5","True"
"apps/admin/next.config.mts","18","True"
"apps/admin/package.json","27","True"
"apps/admin/src/app/layout.tsx","18","True"
"apps/admin/src/app/page.tsx","7","True"
"apps/admin/tsconfig.json","21","True"
"apps/admin/tsconfig.tsbuildinfo","1","True"
"apps/api/.env.example","9","True"
"apps/api/RESEND_SETUP.md","50","True"
"apps/api/package.json","27","True"
"apps/api/src/emails/admin-notification.ts","83","True"
"apps/api/src/emails/comment-moderation.ts","44","True"
"apps/api/src/emails/welcome.ts","327","True"
"apps/api/src/index.test.ts","11","True"
"apps/api/src/index.ts","345","True"
"apps/api/src/lib/generateColors.ts","53","True"
"apps/api/src/server/api/root.ts","7","True"
"apps/api/src/server/api/routers/movies/index.ts","53","True"
"apps/api/src/server/api/routers/movies/mutations.ts","35","True"
"apps/api/src/server/api/routers/movies/queries.ts","43","True"
"apps/api/src/server/api/routers/movies/service.ts","106","True"
"apps/api/src/server/api/routers/users/index.ts","36","True"
"apps/api/src/server/api/routers/users/mutations.ts","30","True"
"apps/api/src/server/api/routers/users/queries.ts","24","True"
"apps/api/src/server/api/routers/users/service.ts","154","True"
"apps/api/src/server/context.ts","8","True"
"apps/api/src/server/trpc.ts","5","True"
"apps/api/tsconfig.json","12","True"
"apps/api/vitest.config.ts","8","True"
"apps/web/.env.example","25","True"
"apps/web/.eslintrc.json","3","True"
"apps/web/.seo/lh-movie-1318447.json","10757","True"
"apps/web/.seo/lighthouse-home-mobile-full.json","23849","True"
"apps/web/.seo/lighthouse-home-mobile-ultra.json","20060","True"
"apps/web/.seo/lighthouse-home-mobile.json","2009","True"
"apps/web/.seo/monitor-snapshot.json","13","True"
"apps/web/.seo/reports/latest.json","64","True"
"apps/web/.seo/route-chunks/_detail_movie_[id]_page.json","148","True"
"apps/web/.seo/route-chunks/_movie_[id]_page.json","178","True"
"apps/web/.seo/webmaster-loop.json","6","True"
"apps/web/HOW_TO_ENABLE_OAUTH.md","108","True"
"apps/web/OAUTH_SETUP.md","98","True"
"apps/web/QUICK_START.md","48","True"
"apps/web/docs/ARCH-ROUTING.md","45","True"
"apps/web/docs/SEO_OPERATIONS.md","173","True"
"apps/web/docs/SEO_PROGRAMMATIC_STAGE3.md","42","True"
"apps/web/docs/SEO_QA_RUNBOOK.md","74","True"
"apps/web/docs/adr/0001-data-plane-serving.md","15","True"
"apps/web/eslint.config.mjs","22","True"
"apps/web/layout-check-3011.png","2617","True"
"apps/web/layout-check-movies-3011.png","5566","True"
"apps/web/layout-check-movies-full-3010.png","18632","True"
"apps/web/layout-check-movies-full-3011.png","18961","True"
"apps/web/next-env.d.ts","5","True"
"apps/web/next.config.mts","123","True"
"apps/web/package.json","80","True"
"apps/web/postcss.config.mjs","8","True"
"apps/web/public/sw.js","141","True"
"apps/web/scripts/create-seo-page.mjs","95","True"
"apps/web/scripts/indexnow-submit-sitemap.mjs","130","True"
"apps/web/scripts/measure-route-client-chunks.mjs","107","True"
"apps/web/scripts/robots-disallow-utils.mjs","24","True"
"apps/web/scripts/seo-consistency-core.mjs","20","True"
"apps/web/scripts/seo-crawl-budget-core.mjs","35","True"
"apps/web/scripts/seo-internal-links-core.mjs","55","True"
"apps/web/scripts/seo-monitor-regression.mjs","301","True"
"apps/web/scripts/seo-nightly.mjs","117","True"
"apps/web/scripts/seo-programmatic-policy.json","85","True"
"apps/web/scripts/seo-route-policy.json","62","True"
"apps/web/scripts/seo-scaffold-core.mjs","110","True"
