"file","role","risk","size_bytes","lines","uses","used_by","exports"
".cursorignore","supporting-artifact","LOW","143","13","0","898","0"
".cursorrules","supporting-artifact","LOW","2373","18","0","898","0"
".env.example","supporting-artifact","LOW","393","10","0","0","0"
".github/workflows/generate-manifest.yml","supporting-artifact","LOW","1064","32","0","0","0"
".github/workflows/quality.yml","supporting-artifact","LOW","2971","99","0","0","0"
".gitignore","supporting-artifact","LOW","128","12","0","898","0"
".husky/pre-commit","supporting-artifact","LOW","124","4","0","0","0"
".husky/pre-push","supporting-artifact","LOW","102","4","0","0","0"
".playwright-mcp/page-2026-04-26T23-09-22-139Z.yml","supporting-artifact","LOW","195007","3604","0","0","0"
".playwright-mcp/page-2026-04-27T20-37-06-651Z.yml","supporting-artifact","LOW","54166","1043","0","0","0"
".prettierrc","supporting-artifact","LOW","153","8","0","898","0"
".reports/knip-baseline.json","supporting-artifact","LOW","15194","1","0","0","0"
".vscode/extensions.json","supporting-artifact","LOW","71","5","0","0","0"
".vscode/settings.json","supporting-artifact","LOW","6","2","0","0","0"
"ARCHITECTURE.md","supporting-artifact","LOW","1647","27","0","0","0"
"AUDIT_REPORT.md","supporting-artifact","LOW","4288","45","0","0","0"
"CHECKLIST.md","supporting-artifact","LOW","2405","35","0","0","0"
"CLAUDE.md","supporting-artifact","LOW","3964","98","0","0","0"
"CODE_INDEX.manual.md","supporting-artifact","LOW","334","7","0","0","0"
"CODE_INDEX.md","supporting-artifact","LOW","8448","342","0","0","0"
"HANDOFF.md","supporting-artifact","LOW","2781","37","0","0","0"
"HOMEPAGE-MEDIA-SESSION.md","supporting-artifact","LOW","4635","68","0","0","0"
"LESSONS.md","supporting-artifact","LOW","1624","37","0","0","0"
"PROGRESS.md","supporting-artifact","LOW","69059","339","0","1","0"
"apps/admin/.eslintrc.json","supporting-artifact","LOW","42","3","0","0","0"
"apps/admin/eslint.config.mjs","supporting-artifact","LOW","480","21","2","2","1"
"apps/admin/next-env.d.ts","supporting-artifact","LOW","246","5","1","0","0"
"apps/admin/next.config.mts","runtime-config","HIGH","461","18","0","0","0"
"apps/admin/package.json","supporting-artifact","LOW","605","27","0","0","0"
"apps/admin/src/app/layout.tsx","supporting-artifact","HIGH","581","18","4","0","2"
"apps/admin/src/app/page.tsx","supporting-artifact","LOW","109","7","0","47","1"
"apps/admin/tsconfig.json","supporting-artifact","LOW","459","21","0","0","0"
"apps/admin/tsconfig.tsbuildinfo","supporting-artifact","LOW","150253","1","0","0","0"
"apps/api/.env.example","supporting-artifact","LOW","203","9","0","0","0"
"apps/api/RESEND_SETUP.md","supporting-artifact","LOW","3070","50","0","0","0"
"apps/api/package.json","supporting-artifact","LOW","627","27","0","0","0"
"apps/api/src/emails/admin-notification.ts","supporting-artifact","LOW","3488","83","0","1","1"
