"file","status","reason","role","risk","lines","uses","used_by"
".cursorignore","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","13","0","898"
".cursorrules","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","18","0","898"
".env.example","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","10","0","0"
".github/workflows/generate-manifest.yml","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","32","0","0"
".github/workflows/quality.yml","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","99","0","0"
".gitignore","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","12","0","898"
".husky/pre-commit","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","4","0","0"
".husky/pre-push","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","4","0","0"
".playwright-mcp/page-2026-04-26T23-09-22-139Z.yml","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","3604","0","0"
".playwright-mcp/page-2026-04-27T20-37-06-651Z.yml","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","1043","0","0"
".prettierrc","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","8","0","898"
".reports/knip-baseline.json","DELETE_CANDIDATE","Support artifact with no incoming usage.","supporting-artifact","LOW","1","0","0"
".vscode/extensions.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","5","0","0"
".vscode/settings.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","2","0","0"
"ARCHITECTURE.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","27","0","0"
"AUDIT_REPORT.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","45","0","0"
"CHECKLIST.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","35","0","0"
"CLAUDE.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","98","0","0"
"CODE_INDEX.manual.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","7","0","0"
"CODE_INDEX.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","342","0","0"
"HANDOFF.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","37","0","0"
"HOMEPAGE-MEDIA-SESSION.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","68","0","0"
"LESSONS.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","37","0","0"
